,match_id,red_or_blue_side,team_name,kills,deaths,assists,kda_ratio
340,0ca38e86e4a327d7,Blue,ITZ,17.0,11.0,25.0,3.8181818181818183
341,0ca38e86e4a327d7,Red,OPK,11.0,17.0,20.0,1.8235294117647058
342,0cd8238034aec606,Blue,SSG,6.0,18.0,10.0,0.8888888888888888
343,0cd8238034aec606,Red,SKT,18.0,6.0,44.0,10.333333333333334
344,0ce321162a09233f,Blue,VIT,8.0,8.0,15.0,2.875
345,0ce321162a09233f,Red,ROC,8.0,8.0,12.0,2.5
346,0ce3cff3ee930c35,Blue,REN,18.0,12.0,51.0,5.75
347,0ce3cff3ee930c35,Red,TL,12.0,18.0,35.0,2.611111111111111
348,0cfc20106031d777,Blue,G2,11.0,6.0,31.0,7.0
349,0cfc20106031d777,Red,H2K,6.0,11.0,17.0,2.090909090909091
350,0d42f504c2492f8a,Blue,SPY,7.0,13.0,18.0,1.9230769230769231
351,0d42f504c2492f8a,Red,G2,13.0,7.0,43.0,8.0
352,0d6435b31bfa3c40,Blue,CGE,3.0,19.0,6.0,0.47368421052631576
